"Save and Continue Edit","Save and Continue Edit",module,Amasty_ShopbyBrand,module,Amasty_ShopbyBrand
"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files.",module,Amasty_ShopbyBrand,module,Amasty_ShopbyBrand
"More from this Brand","More from this Brand",module,Amasty_ShopbyBrand,module,Amasty_ShopbyBrand
"Manage Brand Slider","Manage Brand Slider",module,Amasty_ShopbyBrand,module,Amasty_ShopbyBrand
"Edit Improved Navigation Brand Slider","Edit Improved Navigation Brand Slider",module,Amasty_ShopbyBrand,module,Amasty_ShopbyBrand
"Improved Navigation Brand Slider","Improved Navigation Brand Slider",module,Amasty_ShopbyBrand,module,Amasty_ShopbyBrand
"Something went wrong while editing the brand.","Something went wrong while editing the brand.",module,Amasty_ShopbyBrand,module,Amasty_ShopbyBrand
CMS,CMS,module,Amasty_ShopbyBrand,module,Amasty_ShopbyBrand
"Manage Layered Navigation: Brand Management","Manage Layered Navigation: Brand Management",module,Amasty_ShopbyBrand,module,Amasty_ShopbyBrand
"Brand Management","Brand Management",module,Amasty_ShopbyBrand
"A total of %1 brand(s) have been added to slider.","A total of %1 brand(s) have been added to slider.",module,Amasty_ShopbyBrand
"A total of %1 brand(s) have been removed from slider.","A total of %1 brand(s) have been removed from slider.",module,Amasty_ShopbyBrand
"Make sure that the root category for current store is anchored","Make sure that the root category for current store is anchored",module,Amasty_ShopbyBrand
"Make sure that ""%1"" attribute can be used in layered navigation","Make sure that ""%1"" attribute can be used in layered navigation",module,Amasty_ShopbyBrand
"-- Empty --","-- Empty --",module,Amasty_ShopbyBrand
Disabled,Disabled,module,Amasty_ShopbyBrand
Name,Name,module,Amasty_ShopbyBrand
Position,Position,module,Amasty_ShopbyBrand
No,No,module,Amasty_ShopbyBrand
"All Brands page","All Brands page",module,Amasty_ShopbyBrand
"Product page","Product page",module,Amasty_ShopbyBrand
"Listing page","Listing page",module,Amasty_ShopbyBrand
"Display First","Display First",module,Amasty_ShopbyBrand
"Display Last","Display Last",module,Amasty_ShopbyBrand
"Meta Data","Meta Data",module,Amasty_ShopbyBrand
"Meta Title","Meta Title",module,Amasty_ShopbyBrand
"Meta Description","Meta Description",module,Amasty_ShopbyBrand
"Meta Keywords","Meta Keywords",module,Amasty_ShopbyBrand
"Page Content","Page Content",module,Amasty_ShopbyBrand
"Page Title","Page Title",module,Amasty_ShopbyBrand
Title,Title,module,Amasty_ShopbyBrand
Description,Description,module,Amasty_ShopbyBrand
"Short Description","Short Description",module,Amasty_ShopbyBrand
"Delete Image","Delete Image",module,Amasty_ShopbyBrand
Image,Image,module,Amasty_ShopbyBrand
"Top CMS Block","Top CMS Block",module,Amasty_ShopbyBrand
"Bottom CMS Block","Bottom CMS Block",module,Amasty_ShopbyBrand
"Please make sure the attribute is selected in the following setting: STORES ->
                Configuration -> Improved Layered Navigation -> Category Title and Description ->
                'Add the title & description of the selected filters'","Please make sure the attribute is selected in the following setting: STORES ->
                Configuration -> Improved Layered Navigation -> Category Title and Description ->
                'Add the title & description of the selected filters'",module,Amasty_ShopbyBrand
"Used in Brands Slider, Product Page Icon & Swatch for Multiselect Attribute","Used in Brands Slider, Product Page Icon & Swatch for Multiselect Attribute",module,Amasty_ShopbyBrand
"Page content image is used.","Page content image is used.",module,Amasty_ShopbyBrand
Other,Other,module,Amasty_ShopbyBrand
"Small Image","Small Image",module,Amasty_ShopbyBrand
"Small Image Alt","Small Image Alt",module,Amasty_ShopbyBrand
"Show in Brand Slider","Show in Brand Slider",module,Amasty_ShopbyBrand
"Position in Slider","Position in Slider",module,Amasty_ShopbyBrand
"Please make sure Sort By ""Position"" is selected in the following setting group:
                                  STORES -> Configuration -> Improved Layered Navigation: Brands -> Brand Slider","Please make sure Sort By ""Position"" is selected in the following setting group:
                                  STORES -> Configuration -> Improved Layered Navigation: Brands -> Brand Slider",module,Amasty_ShopbyBrand
Edit,Edit,module,Amasty_ShopbyBrand
"Search Brands","Поиск по торговым маркам",module,Amasty_ShopbyBrand
"Search Brand","Поиск по торговым маркам",module,Amasty_ShopbyBrand
Brands,Brands,module,Amasty_ShopbyBrand
"All Brands","Все бренды",module,Amasty_ShopbyBrand
"Please select brand attribute in Stores -> Configuration -> Amasty Extensions -> Improved Layered Navigation:
                    Brands.","Please select brand attribute in Stores -> Configuration -> Amasty Extensions -> Improved Layered Navigation:
                    Brands.",module,Amasty_ShopbyBrand
