Installed,Установлен,module,Amasty_Cart
"Not Installed","Не установлен",module,Amasty_Cart
"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files.",module,Amasty_Cart
"We can't add this item to your shopping cart right now. Please reload the page.","We can't add this item to your shopping cart right now. Please reload the page.",module,Amasty_Cart
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now.",module,Amasty_Cart
"%1 has been added to your cart","%1 добавлен в корзину",module,Amasty_Cart
"Please specify the quantity of product(s).","Please specify the quantity of product(s).",module,Amasty_Cart
"You need to choose options for your item.","You need to choose options for your item.",module,Amasty_Cart
"Continue shopping","Продолжить покупки",module,Amasty_Cart
Cancel,Отмена,module,Amasty_Cart
"Set options","Set options",module,Amasty_Cart
"Add to cart","Купить",module,Amasty_Cart
"There is","Всего",module,Amasty_Cart
" item"," товар",module,Amasty_Cart
"There are","Всего",module,Amasty_Cart
" items"," товара",module,Amasty_Cart
"View Cart","В корзину",module,Amasty_Cart
" in your cart."," в корзине.",module,Amasty_Cart
"Cart Subtotal:","Общая сумма:",module,Amasty_Cart
Information,Информация,module,Amasty_Cart
"Continue","Продолжить покупки",module,Amasty_Cart
"Go to Checkout","Оформить заказ",module,Amasty_Cart
"%1 has been added to your cart.","%1 добавлен в корзину.",module,Amasty_Cart
"We can't add this item to your shopping cart.","We can't add this item to your shopping cart.",module,Amasty_Cart
"We can't find the quote item.","We can't find the quote item.",module,Amasty_Cart
"%1 was updated in your shopping cart.","%1 was updated in your shopping cart.",module,Amasty_Cart
"We can't update the item right now.","We can't update the item right now.",module,Amasty_Cart
"This product(s) is out of stock.","This product(s) is out of stock.",module,Amasty_Cart
"We can't add the item to the cart right now.","We can't add the item to the cart right now.",module,Amasty_Cart
"in your cart","в корзине",module,Amasty_Cart
"More Choices:","More Choices:",module,Amasty_Cart
"You may be interested in the following items","You may be interested in the following items",module,Amasty_Cart
Center,В центре,module,Amasty_Cart
Top,Вверху,module,Amasty_Cart
"Top Left","Вверху слева",module,Amasty_Cart
"Top Right","Вверху справа",module,Amasty_Cart
Left,Слева,module,Amasty_Cart
Right,Справа,module,Amasty_Cart
None,Нету,module,Amasty_Cart
Related,Related,module,Amasty_Cart
Cross-sell,Cross-sell,module,Amasty_Cart
"Stay on Current Page","Оставаться на текущей странице",module,Amasty_Cart
"Go to Category Page","Go to Category Page",module,Amasty_Cart
"Parent Configurable Product Image","Parent Configurable Product Image",module,Amasty_Cart
"Child Simple Product Image","Child Simple Product Image",module,Amasty_Cart
