"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files.",module,Amasty_SocialLogin
"You are now logged out.","You are now logged out.",module,Amasty_SocialLogin
"My Social Accounts","Профили соцсетей",module,Amasty_SocialLogin
"Sorry. We cannot find social type. Please try again later.","Sorry. We cannot find social type. Please try again later.",module,Amasty_SocialLogin
"Sorry. We cannot find your email. Please enter email in your %1 profile.","Sorry. We cannot find your email. Please enter email in your %1 profile.",module,Amasty_SocialLogin
"Sorry. We cannot connect to this social profile. It is used for another site account.","Sorry. We cannot connect to this social profile. It is used for another site account.",module,Amasty_SocialLogin
"We can`t get customer email from your social account.","We can`t get customer email from your social account.",module,Amasty_SocialLogin
"You have successfully logged in using your %1 account.","You have successfully logged in using your %1 account.",module,Amasty_SocialLogin
"Please check Callback Url in social app configuration","Please check Callback Url in social app configuration",module,Amasty_SocialLogin
"An unspecified error occurred. Please try again later.","An unspecified error occurred. Please try again later.",module,Amasty_SocialLogin
"The account is locked.","The account is locked.",module,Amasty_SocialLogin
"New User","New User",module,Amasty_SocialLogin
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.",module,Amasty_SocialLogin
"We have created new store account using your email address.","We have created new store account using your email address.",module,Amasty_SocialLogin
"An unspecified error occurred during creating new customer.","An unspecified error occurred during creating new customer.",module,Amasty_SocialLogin
"Your account was successfully unlinked.","Your account was successfully unlinked.",module,Amasty_SocialLogin
"Sorry. We can`t find information about your account","Sorry. We can`t find information about your account",module,Amasty_SocialLogin
"Additional Social Login package is not installed. Please, run the following command in the SSH: composer require hybridauth/hybridauth ^2.15.1","Additional Social Login package is not installed. Please, run the following command in the SSH: composer require hybridauth/hybridauth ^2.15.1",module,Amasty_SocialLogin
"Your site is configured to use HTTP connection and Facebook API does not allow it for login. Please configure HTTPS connection for your site.","Your site is configured to use HTTP connection and Facebook API does not allow it for login. Please configure HTTPS connection for your site.",module,Amasty_SocialLogin
"Unable to save sales with ID %1. Error: %2","Unable to save sales with ID %1. Error: %2",module,Amasty_SocialLogin
"Unable to save new sales. Error: %1","Unable to save new sales. Error: %1",module,Amasty_SocialLogin
"Sales with specified ID ""%1"" not found.","Sales with specified ID ""%1"" not found.",module,Amasty_SocialLogin
"Unable to remove sales with ID %1. Error: %2","Unable to remove sales with ID %1. Error: %2",module,Amasty_SocialLogin
"Unable to remove sales. Error: %1","Unable to remove sales. Error: %1",module,Amasty_SocialLogin
"Unable to save social data with ID %1. Error: %2","Unable to save social data with ID %1. Error: %2",module,Amasty_SocialLogin
"Unable to save new social sata item. Error: %1","Unable to save new social sata item. Error: %1",module,Amasty_SocialLogin
"Social item with specified ID ""%1"" not found.","Social item with specified ID ""%1"" not found.",module,Amasty_SocialLogin
"Unable to remove social item with ID %1. Error: %2","Unable to remove social item with ID %1. Error: %2",module,Amasty_SocialLogin
"Unable to remove social item. Error: %1","Unable to remove social item. Error: %1",module,Amasty_SocialLogin
Top,Top,module,Amasty_SocialLogin
Bottom,Bottom,module,Amasty_SocialLogin
Right,Right,module,Amasty_SocialLogin
Left,Left,module,Amasty_SocialLogin
"Login Popup","Login Popup",module,Amasty_SocialLogin
"Above customer login form","Above customer login form",module,Amasty_SocialLogin
"Below customer login form","Below customer login form",module,Amasty_SocialLogin
"Above customer registration form","Above customer registration form",module,Amasty_SocialLogin
"Below customer registration form","Below customer registration form",module,Amasty_SocialLogin
"Shopping cart page","Shopping cart page",module,Amasty_SocialLogin
"Stay on the current page","Stay on the current page",module,Amasty_SocialLogin
"To Custom Url","To Custom Url",module,Amasty_SocialLogin
"Refresh Current Page","Refresh Current Page",module,Amasty_SocialLogin
"Round Buttons","Round Buttons",module,Amasty_SocialLogin
"Rectangular Buttons","Rectangular Buttons",module,Amasty_SocialLogin
"Square Buttons","Square Buttons",module,Amasty_SocialLogin
"Social Login","Social Login",module,Amasty_SocialLogin
"Top Social Login","Top Social Login",module,Amasty_SocialLogin
Users:,Users:,module,Amasty_SocialLogin
"Purchased Items:","Purchased Items:",module,Amasty_SocialLogin
Amount:,Amount:,module,Amasty_SocialLogin
"Other connections","Other connections",module,Amasty_SocialLogin
