entity_id,name,store_view,store_name,image,url_path,available_sort_by,custom_apply_to_products,custom_design,custom_design_from,custom_design_to,custom_layout_update,custom_layout_update_file,custom_use_parent_settings,default_sort_by,description,display_mode,filter_price_range,include_in_menu,is_active,is_anchor,landing_page,meta_description,meta_keywords,meta_title,page_layout,path,path_in_store,position,url_key
570,Товары для собак,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/570,,2,tovary-dlya-sobak
571,Товары для кошек,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/571,,3,tovary-dlya-koshek
572,Товары для грызунов,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/572,,4,tovary-dlya-gryzunov
573,Товары для грызунов/Клетки для грызунов,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/572/573,,2,kletki-i-aksessuary-2
574,Товары для грызунов/Корм для грызунов,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/572/574,,1,korma-i-podkormki-4
575,Подстилки для грызунов,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/575,,5,podstilki-dlya-gryzunov
576,Товары для рыб,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/576,,6,tovary-dlya-ryb
577,Осветительное оборудование для аквариума,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/577,,7,osvetitelnoe-oborudovanie
578,Подставки и тумбы для аквариума,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/578,,8,podstavki-i-tumby
579,Лампы для аквариума,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/579,,9,lampy-dlya-akvariuma
580,Кормушки для рыб,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/580,,10,kormushki-dlya-ryb
581,Корм для рыб,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/581,,11,korma-i-podkormki
582,Компрессоры для аквариумов,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/582,,12,kompressory
583,"Препараты для контроля воды, лечения, удобрения",default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/583,,13,preparaty-dlya-kontrolya-vody-lecheniya-udobreniya
584,Наполнители для фильтров аквариума,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/584,,14,filtruyushie-napolniteli
585,Фильтры для аквариума,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/585,,15,filtry-dlya-akvariuma
586,Запасные части к аквариумному оборудованию,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/586,,16,zapasnye-chasti-k-akvaruimnomu-oborudovaniyu
587,Грунт для аквариума,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/587,,17,grunt-dlya-akvariuma
588,Аквариумы,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/588,,18,akvariumy
589,Аквариумные растения,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/589,,19,akvariumnye-rasteniya
590,Аквариумные нагреватели,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/590,,20,akvariumnye-nagrevateli
591,Аксессуары для аквариума,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/591,,21,akvariumnye-aksessuary
592,CO2 оборудование для аквариума,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/592,,22,co2-oborudovanie
593,Охладители для аквариума,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/593,,23,ohladiteli
594,Морская соль для аквариума,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/594,,24,sol
595,Декорации для аквариума,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/595,,25,dekoracii-dlya-akvariuma
596,Товары для птиц,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/596,,26,tovary-dlya-ptic
597,Клетки для птиц,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/597,,27,kletki-i-aksessuary
598,Корм для птиц,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/598,,28,korma-i-podkormki-dlya-ptic
599,Товары для рептилий,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/599,,29,tovary-dlya-terrariumistiki
600,Террариумы,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/600,,30,terrariumy
601,Тумбы для террариума,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/601,,31,tumby-dlya-terrariumov
602,Освещение для террариума,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/602,,32,osveshenie-dlya-terrariuma
603,Оборудование для террариума,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/603,,33,oborudovanie-dlya-terrariuma
604,Лампы для террариума,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/604,,34,lampy-dlya-terrariuma
605,Корм для рептилий,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/605,,35,korma-i-podkormki-3
606,Декорации для террариумов,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/606,,36,dekoracii-dlya-terrariumov
607,Другие товары,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/607,,37,drugie-tovary
608,Спальные места и переноски,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/608,,38,spalnye-mesta-i-perenoski
609,Товары для лошадей,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/609,,39,tovary-dlya-loshadej
610,Товары для хорьков,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/610,,40,tovary-dlya-horkov
611,Средства для коррекции поведения животных,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/611,,41,sredstva-dlya-korrekcii-povedeniya-zhivotnyh
612,Препараты для защиты и лечения рептилий,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/612,,42,preparaty-dlya-zashity-i-lecheniya-reptilij-1
613,Обогреватели для террариума,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/613,,43,obogrevateli-dlya-terrariuma-1
614,Грунт для террариума,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/614,,44,grunt-dlya-terrariuma
615,Товары для пруда,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/615,,45,tovary-dlya-prudov
616,Корм для прудовых рыб,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/616,,46,korm-dlya-prudovyh-ryb
617,Декорации для пруда,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/617,,47,dekoracii-dlya-pruda
618,Компрессоры для пруда,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/618,,48,kompressory-dlya-prudov
619,Нагреватели для пруда,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/619,,49,nagrevateli-dlya-pruda
620,Стерилизаторы для пруда,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/620,,50,sterilizatory-dlya-pruda
621,Лампы для прудовых стерилизаторов,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/621,,51,lampy-dlya-prudovyh-sterilizatorov
622,Корм для раков и креветок,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/622,,52,korm-dlya-rakov-i-krevetok
623,Уход за водой в пруду,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/623,,53,uhod-za-vodoj-v-prudu
624,Аксессуары для пруда,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/624,,54,aksessuary-dlya-pruda
625,Фильтры для пруда,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/625,,55,filtry-dlya-pruda
626,Помпы и насосы для фонтанов и прудов,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/626,,56,pompy-i-nasosy-dlya-fontanov-i-prudov
627,Наполнители для прудовых фильтров,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/627,,57,napolniteli-dlya-prudovyh-filtrov
628,Аксессуары для террариума,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/628,,58,aksessuary-dlya-terrariuma
629,Ультрафиолетовые стерилизаторы для аквариумов,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/629,,59,ultrafioletovye-sterilizatory
630,Аксессуары для груминга животных,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/630,,60,aksessuary-dlia-zhivotnykh
631,Ножи для машинок для стрижки животных,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/631,,61,nozhi-dlya-mashinok
632,Косметика для животных,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/632,,62,kosmetika-dlia-zhivotnykh
633,Фены для груминга,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/633,,63,feny-dlia-grumminga
634,Ножницы для груминга,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/634,,64,nozhnitcy-dlia-grumminga
635,Косметика Iv San Bernard,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/635,,65,kosmetika-iv-san-bernard
636,Креативный груминг,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/636,,66,kreativnyi-grumming
637,Оборудование для груминга,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/637,,67,oborudovanie-dlia-grumminga
638,Щетки для животных,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/638,,68,shchetki
639,Маникюрный инструмент для животных,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/639,,69,manikiurnyi-instrument
640,Пуходерки - сликеры,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/640,,70,puhoderki-slikery
641,Расчески для животных,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/641,,71,rascheski
642,Рейки колтунорезы,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/642,,72,reiki-koltunorezy
643,Резинки и бумага для папильоток,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/643,,73,rezinki-i-bumaga-dlia-papilotok
644,Одежда и аксессуары для грумеров,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/644,,74,odezhda-i-aksessuary-dlia-grumerov
645,Ножи для тримминга,default,,,,,,,,,,,,,,,,Да,Да,Да,,,,,,1/645,,75,nozhi-dlia-trimminga
