name,url_key,path,active,is_anchor,include_in_menu
Товары для собак,tovary-dlya-sobak,,1,1,1
Товары для кошек,tovary-dlya-koshek,,1,1,1
Товары для грызунов,tovary-dlya-gryzunov,,1,1,1
Клетки для грызунов,kletki-i-aksessuary-2,Товары для грызунов,1,1,1
Корм для грызунов,korma-i-podkormki-4,Товары для грызунов,1,1,1
Подстилки для грызунов,podstilki-dlya-gryzunov,Товары для грызунов,1,1,1
Товары для рыб,tovary-dlya-ryb,,1,1,1
Осветительное оборудование для аквариума,osvetitelnoe-oborudovanie,Товары для рыб,1,1,1
Подставки и тумбы для аквариума,podstavki-i-tumby,Товары для рыб,1,1,1
Лампы для аквариума,lampy-dlya-akvariuma,Товары для рыб,1,1,1
Кормушки для рыб,kormushki-dlya-ryb,Товары для рыб,1,1,1
Корм для рыб,korma-i-podkormki,Товары для рыб,1,1,1
Компрессоры для аквариумов,kompressory,Товары для рыб,1,1,1
"Препараты для контроля воды, лечения, удобрения",preparaty-dlya-kontrolya-vody-lecheniya-udobreniya,Товары для рыб,1,1,1
Наполнители для фильтров аквариума,filtruyushie-napolniteli,Товары для рыб,1,1,1
Фильтры для аквариума,filtry-dlya-akvariuma,Товары для рыб,1,1,1
Запасные части к аквариумному оборудованию,zapasnye-chasti-k-akvaruimnomu-oborudovaniyu,Товары для рыб,1,1,1
Грунт для аквариума,grunt-dlya-akvariuma,Товары для рыб,1,1,1
Аквариумы,akvariumy,Товары для рыб,1,1,1
Аквариумные растения,akvariumnye-rasteniya,Товары для рыб,1,1,1
Аквариумные нагреватели,akvariumnye-nagrevateli,Товары для рыб,1,1,1
Аксессуары для аквариума,akvariumnye-aksessuary,Товары для рыб,1,1,1
CO2 оборудование для аквариума,co2-oborudovanie,Товары для рыб,1,1,1
Охладители для аквариума,ohladiteli,Товары для рыб,1,1,1
Морская соль для аквариума,sol,Товары для рыб,1,1,1
Декорации для аквариума,dekoracii-dlya-akvariuma,Товары для рыб,1,1,1
Товары для птиц,tovary-dlya-ptic,,1,1,1
Клетки для птиц,kletki-i-aksessuary,Товары для птиц,1,1,1
Корм для птиц,korma-i-podkormki-dlya-ptic,Товары для птиц,1,1,1
Товары для рептилий,tovary-dlya-terrariumistiki,,1,1,1
