sku,name,description,meta_description,	meta_title,url_key,Price,qty,base_image,base_image_label,small_image,small_image_label,categories,product_type
17551,"Корм Vitapol коктейль, для грызунов, ведро, 3 л","<h2>Корм Vitapol коктейль, для грызунов, ведро, 3 л</h2><p><b>VITAPOL Полнорационный корм для грызунов, пластиковое ведро.</b></p><p><b>Состав:</b></p><ul><li>хлебное зерно и хлебопродукты 65 %,</li><li>овощи 15 %, зерновой гранулят 11 %, масличные семена 3 %, </li><li>хлебобулочные изделия 4 %, другие растения 2 %.</li></ul><p>Применять в качестве полнорационного корма.</p><p><b>Артикул:</b> ZVP-1009.</p><p><b>Объем:</b> 3 л.</p><p><b>Вес:</b> 1.9 кг.</p><p><b>Производитель: Vitapol</b></p><p><b>Страна производитель: Польша</b></p>","Купить Корм Vitapol коктейль, для грызунов, ведро, 3 л в зоомагазине ZOOcomplex. Звоните ☎️ (067) 634-51-39, (050) 421-54-94. Доставка в Киев, Днепр, Одессу, Харьков, Львов","Корм Vitapol коктейль, для грызунов, ведро, 3 л купить в Киеве, Днепре, Украине",vitapol-17551,163.0000,0,https://zoocomplex.com.ua/image/catalog/image/import_products/product-103712.JPEG,"Корм Vitapol коктейль, для грызунов, ведро, 3 л",,"Корм Vitapol коктейль, для грызунов, ведро, 3 л",Товары для грызунов/Корм для грызунов,simple
17612,"Корм Vitapol полнорационный, для кроликов, 400 г","<h2>Корм Vitapol полнорационный, для кроликов, 400 г</h2><p><b>Полнорационный корм для Кроликов Vitapol.</b></p><p><b>Состав:</b></p><ul><li>Зерносмесь 20%</li><li>Зерновой гранулят 30%</li><li>Овощи 16%</li><li>Хлебопродукты 4%</li><li>Семена масличных культур 2%</li><li>Белок 16%</li><li>Жир 3,8%</li><li>Клетчатка 11%</li><li>Зола 4%</li></ul><p><b>Артикул:</b> ZVP-0121.</p><p><b>Вес:</b> 400г.</p><p>  <b>Производитель: Vitapol</b></p><p>  <b>Страна производитель: Польша</b></p>","Купить Корм Vitapol полнорационный, для кроликов, 400 г в зоомагазине ZOOcomplex. Звоните ☎️ (067) 634-51-39, (050) 421-54-94. Доставка в Киев, Днепр, Одессу, Харьков, Львов","Корм Vitapol полнорационный, для кроликов, 400 г купить в Киеве, Днепре, Украине",vitapol-17612,54.0000,454,https://zoocomplex.com.ua/image/catalog/image/import_products/product-103736.JPEG,"Корм Vitapol полнорационный, для кроликов, 400 г",,"Корм Vitapol полнорационный, для кроликов, 400 г",Товары для грызунов/Корм для грызунов,simple
17614,"Корм Vitapol полнорационный, для кроликов, 500 г","<h2>Корм Vitapol полнорационный, для кроликов, 500 г</h2><p><b>Полнорационный корм для Кроликов Vitapol,</b> картонная упаковка<b>.</b></p><p><b>Состав:</b></p><ul><li>Зерносмесь 20%</li><li>Зерновой гранулят 30%</li><li>Овощи 16%</li><li>Хлебопродукты 4%</li><li>Семена масличных культур 2%</li><li>Белок 16%</li><li>Жир 3,8%</li><li>Клетчатка 11%</li><li>Зола 4%</li></ul><p><b>Артикул производителя:</b> ZVP-1200.</p><p><b>Вес:</b> 500г.</p><p>  <b>Производитель: Vitapol</b></p><p>  <b>Страна производитель: Польша</b></p>","Купить Корм Vitapol полнорационный, для кроликов, 500 г в зоомагазине ZOOcomplex. Звоните ☎️ (067) 634-51-39, (050) 421-54-94. Доставка в Киев, Днепр, Одессу, Харьков, Львов","Корм Vitapol полнорационный, для кроликов, 500 г купить в Киеве, Днепре, Украине",vitapol-17614,54.0000,2306,https://zoocomplex.com.ua/image/catalog/image/import_products/product-103738.JPEG,"Корм Vitapol полнорационный, для кроликов, 500 г",,"Корм Vitapol полнорационный, для кроликов, 500 г",Товары для грызунов/Корм для грызунов,simple
17615,"Корм Vitapol полнорационный, для кроликов, 1000 г","<h2>Корм Vitapol полнорационный, для кроликов, 1000 г</h2><p><b>Полнорационный корм для Кроликов Vitapol,</b> картонная упаковка<b>.</b></p><p><b>Состав:</b></p><ul><li>Зерносмесь 20%</li><li>Зерновой гранулят 30%</li><li>Овощи 16%</li><li>Хлебопродукты 4%</li><li>Семена масличных культур 2%</li><li>Белок 16%</li><li>Жир 3,8%</li><li>Клетчатка 11%</li><li>Зола 4%</li></ul><p><b>Артикул производителя:</b> ZVP-1200.</p><p><b>Вес:</b> 500г.</p><p>  <b>Производитель: Vitapol</b></p><p>  <b>Страна производитель: Польша</b></p>","Купить Корм Vitapol полнорационный, для кроликов, 1000 г в зоомагазине ZOOcomplex. Звоните ☎️ (067) 634-51-39, (050) 421-54-94. Доставка в Киев, Днепр, Одессу, Харьков, Львов","Корм Vitapol полнорационный, для кроликов, 1000 г купить в Киеве, Днепре, Украине",vitapol-17615,96.0000,280,https://zoocomplex.com.ua/image/catalog/product-103739.jpg,"Корм Vitapol полнорационный, для кроликов, 1000 г",,"Корм Vitapol полнорационный, для кроликов, 1000 г",Товары для грызунов/Корм для грызунов,simple
17617,"Корм Vitapol полнорационный, для кроликов 2 кг, ведро 3 л","<h2>Корм Vitapol полнорационный, для кроликов 2 кг, ведро 3 л</h2><p><b>Полнорационный корм для Кроликов Витапол.</b></p><p><b>Состав:</b></p><ul><li>Зерносмесь 20%</li><li>Зерновой гранулят 30%</li><li>Овощи 16%</li><li>Хлебопродукты 4%</li><li>Семена масличных культур 2%</li><li>Белок 16%</li><li>Жир 3,8%</li><li>Клетчатка 11%</li><li>Зола 4%</li></ul><p><b>Вес:</b> 2000 г.</p><p><b>Объем:</b> 3 л.</p><p><b>Артикул:</b> ZVP-1261.</p><p>  <b>Производитель: Vitapol</b></p><p>  <b>Страна производитель: Польша</b></p>","Купить Корм Vitapol полнорационный, для кроликов 2 кг, ведро 3 л в зоомагазине ZOOcomplex. Звоните ☎️ (067) 634-51-39, (050) 421-54-94. Доставка в Киев, Днепр, Одессу, Харьков, Львов","Корм Vitapol полнорационный, для кроликов 2 кг, ведро 3 л купить в Киеве, Днепре, Украине",vitapol-17617,192.0000,0,https://zoocomplex.com.ua/image/catalog/image/import_products/product-103740.JPEG,"Корм Vitapol полнорационный, для кроликов 2 кг, ведро 3 л",,"Корм Vitapol полнорационный, для кроликов 2 кг, ведро 3 л",Товары для грызунов/Корм для грызунов,simple
17618,"Корм Vitapol полнорационный, для кроликов, мешок, 25 кг","<h2>Корм Vitapol полнорационный, для кроликов, мешок, 25 кг</h2><p><b>Полнорационный корм для Кроликов Vitapol.</b></p><p><b>Состав:</b></p><ul><li>Зерносмесь 20%</li><li>Зерновой гранулят 30%</li><li>Овощи 16%</li><li>Хлебопродукты 4%</li><li>Семена масличных культур 2%</li><li>Белок 16%</li><li>Жир 3,8%</li><li>Клетчатка 11%</li><li>Зола 4%</li></ul><p><b>Артикул:</b> ZVP-1291.</p><p><b>Вес:</b> 25 кг.</p><p>  <b>Производитель: Vitapol</b></p><p>  <b>Страна производитель: Польша</b></p>","Купить Корм Vitapol полнорационный, для кроликов, мешок, 25 кг в зоомагазине ZOOcomplex. Звоните ☎️ (067) 634-51-39, (050) 421-54-94. Доставка в Киев, Днепр, Одессу, Харьков, Львов","Корм Vitapol полнорационный, для кроликов, мешок, 25 кг купить в Киеве, Днепре, Украине",vitapol-17618,1273.0000,0,https://zoocomplex.com.ua/image/catalog/image/import_products/product-103741.JPEG,"Корм Vitapol полнорационный, для кроликов, мешок, 25 кг",,"Корм Vitapol полнорационный, для кроликов, мешок, 25 кг",Товары для грызунов/Корм для грызунов,simple
17621,"Корм Vitapol фруктовый, для кроликов, картонная упаковка, 350 г","<h2>Корм Vitapol фруктовый, для кроликов, картонная упаковка, 350 г</h2><p><b>Фруктовый корм для Кроликов Vitapol,</b> картонная упаковка<b>.</b></p><p><b>Состав:</b></p><ul><li>Зерносмесь 20%</li><li>Зерновой гранулят 30%</li><li>фрукты сушеные 16%</li><li>Хлебопродукты 4%</li><li>Семена масличных культур 2%</li><li>Белок 16%</li><li>Жир 3,8%</li><li>Клетчатка 11%</li><li>Зола 4%</li></ul><p><b>Артикул:</b> ZVP-1201.</p><p><b>Вес:</b> 350г.</p><p>  <b>Производитель: Vitapol</b></p><p>  <b>Страна производитель: Польша</b></p>","Купить Корм Vitapol фруктовый, для кроликов, картонная упаковка, 350 г в зоомагазине ZOOcomplex. Звоните ☎️ (067) 634-51-39, (050) 421-54-94. Доставка в Киев, Днепр, Одессу, Харьков, Львов","Корм Vitapol фруктовый, для кроликов, картонная упаковка, 350 г купить в Киеве, Днепре, Украине",vitapol-17621,244.0000,0,https://zoocomplex.com.ua/image/catalog/image/import_products/product-103742.JPEG,"Корм Vitapol фруктовый, для кроликов, картонная упаковка, 350 г",,"Корм Vitapol фруктовый, для кроликов, картонная упаковка, 350 г",Товары для грызунов/Корм для грызунов,simple
17623,"Корм Vitapol полнорационный, для морских свинок, 400 г","<h2>Корм Vitapol полнорационный, для морских свинок, 400 г</h2><p><b>VITAPOL Полнорационный корм для Морских свинок</b></p><p><b>Состав:</b></p><ul><li>хлебное зерно и хлебопродукты 65 %,</li><li>овощи 15 %, зерновой гранулят 11 %, масличные семена 3 %,</li><li>хлебобулочные изделия 4 %, другие растения 2 %.</li></ul><p>Применять в качестве полнорационного корма.</p><p><b>Артикул:</b> ZVP-0131.</p><p><b>Вес:</b> 400 г.</p><p>  <b>Производитель: Vitapol</b></p><p>  <b>Страна производитель: Польша</b></p>","Купить Корм Vitapol полнорационный, для морских свинок, 400 г в зоомагазине ZOOcomplex. Звоните ☎️ (067) 634-51-39, (050) 421-54-94. Доставка в Киев, Днепр, Одессу, Харьков, Львов","Корм Vitapol полнорационный, для морских свинок, 400 г купить в Киеве, Днепре, Украине",vitapol-17623,48.0000,126,https://zoocomplex.com.ua/image/catalog/product-103744.jpg,"Корм Vitapol полнорационный, для морских свинок, 400 г",,"Корм Vitapol полнорационный, для морских свинок, 400 г",Товары для грызунов/Корм для грызунов,simple
17624,"Корм Vitapol полнорационный, для морских свинок, 2.2 кг, ведро 3 л","<h2>Корм Vitapol полнорационный, для морских свинок, 2.2 кг, ведро 3 л</h2><p><b>Витапол </b>Полнорационный корм для Морских свинок в пластиковом ведре.</p><p><b>Состав:</b></p><ul><li>хлебное зерно и хлебопродукты 65 %,</li><li>овощи 15 %, зерновой гранулят 11 %, масличные семена 3 %,</li><li>хлебобулочные изделия 4 %, другие растения 2 %.</li></ul><p>Применять в качестве полнорационного корма.</p><p><b>Артикул:</b> ZVP-1361.</p><p><b>Вес:</b> 2,2 кг.</p><p><b>Объем: </b>3 л.</p><p>  <b>Производитель: Vitapol</b></p><p>  <b>Страна производитель: Польша</b></p>","Купить Корм Vitapol полнорационный, для морских свинок, 2.2 кг, ведро 3 л в зоомагазине ZOOcomplex. Звоните ☎️ (067) 634-51-39, (050) 421-54-94. Доставка в Киев, Днепр, Одессу, Харьков, Львов","Корм Vitapol полнорационный, для морских свинок, 2.2 кг, ведро 3 л купить в Киеве, Днепре, Украине",vitapol-17624,198.0000,0,https://zoocomplex.com.ua/image/catalog/product-103745.jpg,"Корм Vitapol полнорационный, для морских свинок, 2.2 кг, ведро 3 л",,"Корм Vitapol полнорационный, для морских свинок, 2.2 кг, ведро 3 л",Товары для грызунов/Корм для грызунов,simple
17628,"Корм Vitapol полнорационный, для морских свинок, 500 г","<h2>Корм Vitapol полнорационный, для морских свинок, 500 г</h2><p><b>VITAPOL Полнорационный корм для Морских свинок,</b> картонная упаковка.</p><p><b>Состав:</b></p><ul><li>хлебное зерно и хлебопродукты 65 %,</li><li>овощи 15 %, зерновой гранулят 11 %, масличные семена 3 %,</li><li>хлебобулочные изделия 4 %, другие растения 2 %.</li></ul><p>Применять в качестве полнорационного корма.</p><p><b>Артикул производителя:</b> ZVP-1300.</p><p><b>Вес:</b> 500 г.</p><p>  <b>Производитель: Vitapol</b></p><p>  <b>Страна производитель: Польша</b></p>","Купить Корм Vitapol полнорационный, для морских свинок, 500 г в зоомагазине ZOOcomplex. Звоните ☎️ (067) 634-51-39, (050) 421-54-94. Доставка в Киев, Днепр, Одессу, Харьков, Львов","Корм Vitapol полнорационный, для морских свинок, 500 г купить в Киеве, Днепре, Украине",vitapol-17628,60.0000,656,https://zoocomplex.com.ua/image/catalog/image/import_products/product-103748.JPEG,"Корм Vitapol полнорационный, для морских свинок, 500 г",,"Корм Vitapol полнорационный, для морских свинок, 500 г",Товары для грызунов/Корм для грызунов,simple
